iter	RMSE
0	4448014.999
1	4317859.577
2	4185316.067
3	4070598.553
4	3961368.285
5	3862775.405
6	3767981.357
7	3685532.343
8	3609294.67
9	3538800.745
10	3471566.246
11	3412909.591
12	3352554.596
13	3300261.837
14	3251513.573
15	3204348.948
16	3159065.91
17	3119900.466
18	3083338.804
19	3051688.165
20	3016893.535
21	2987641.336
22	2957582.011
23	2928248.015
24	2904741.4
25	2880255.656
26	2859709.333
27	2838121.325
28	2821764.669
29	2806133.733
30	2788214.046
31	2773770.35
32	2759657.032
33	2744057.648
34	2729579.372
35	2716711.605
36	2703542.131
37	2694393.473
38	2681758.196
39	2670683.23
40	2660649.601
41	2651153.28
42	2641772.879
43	2634511.304
44	2622140.54
45	2614286.163
46	2607465.84
47	2600975.027
48	2589448.794
49	2580580.4
50	2574936.392
51	2566787.132
52	2560067.048
53	2554589.96
54	2549028.897
55	2541433.13
56	2535300.739
57	2530113.157
58	2523712.968
59	2518587.188
60	2513480.557
61	2507738.262
62	2503209.057
63	2499351.611
64	2492731.039
65	2488973.536
66	2485760.491
67	2482932.292
68	2477027.443
69	2472013.595
70	2469468.771
71	2464858.511
72	2458274.175
73	2455289.511
74	2451057.45
75	2449515.53
76	2446636.077
77	2443927.174
78	2439877.031
79	2435462.794
80	2431480.792
81	2428409.377
82	2424778.611
83	2422700.769
84	2419544.599
85	2416190.85
86	2414164.996
87	2409786.898
88	2407126.66
89	2404460.876
90	2401753.651
91	2400401.728
92	2397231.607
93	2394290.505
94	2391059.758
95	2389467.683
96	2385885.804
97	2383856.856
98	2379843.36
99	2376338.998
100	2373671.344
101	2371719.848
102	2369476.355
103	2367689.136
104	2364442.033
105	2362779.596
106	2360571.95
107	2357803.457
108	2356011.897
109	2353646.489
110	2351673.532
111	2349580.778
112	2346751.606
113	2344839.584
114	2343181.138
115	2341598.185
116	2338179.825
117	2336401.295
118	2335264.08
119	2333853.664
120	2332190.962
121	2330844.379
122	2329625.359
123	2328616.688
124	2326591.649
125	2324884.156
126	2323002.383
127	2321544.541
128	2320121.726
129	2317787.163
130	2316598.262
131	2314284.354
132	2313453.904
133	2311946.714
134	2309076.613
135	2307817.188
136	2305816.441
137	2304013.133
138	2301059.446
139	2300268.054
140	2297820.809
141	2296563.629
142	2293299.62
143	2292198.102
144	2289105.446
145	2287620.836
146	2285719.15
147	2284245.587
148	2282844.556
149	2282256.715
150	2281214.374
151	2279808.316
152	2277891.195
153	2276164.25
154	2274209.594
155	2271042.235
156	2267904.042
157	2265294.41
158	2264077.755
159	2263020.572
160	2260519.481
161	2259442.206
162	2258635.989
163	2257369.433
164	2257069.374
165	2255151.202
166	2253247.258
167	2251495.197
168	2249488.144
169	2248466.091
170	2247046.124
171	2244513.733
172	2243293.138
173	2240166.829
174	2237239.8
175	2235962.207
176	2235542.769
177	2234849.839
178	2234076.306
179	2233395.563
180	2232213.66
181	2230874.708
182	2228216.517
183	2226922.201
184	2224592.159
185	2224094.941
186	2223545.049
187	2221850.882
188	2219190.265
189	2216903.265
190	2215362.557
191	2214506.155
192	2213083.596
193	2212039.193
194	2210499.326
195	2208754.968
196	2206474.364
197	2204125.618
198	2201905.378
199	2200449.699
200	2199029.452
201	2198391.765
202	2197092.903
203	2195375.983
204	2194199.586
205	2192575.384
206	2191250.562
207	2190985.881
208	2189748.805
209	2189181.061
210	2187907.912
211	2185626.815
212	2183938.717
213	2181864.408
214	2180690.537
215	2180163.156
216	2179655.683
217	2178868.781
218	2178610.848
219	2178178.936
220	2176422
221	2174968.783
222	2173110.319
223	2170825.813
224	2168943.833
225	2168700.8
226	2166893.62
227	2165062.495
228	2163588.859
229	2163056.627
230	2161678.544
231	2161050.914
232	2160511.2
233	2158737.843
234	2156192.75
235	2155017.1
236	2154147.726
237	2153422.226
238	2151558.142
239	2150103.305
240	2149346.533
241	2148152.675
242	2146198.339
243	2144731.494
244	2143247.099
245	2141940.119
246	2140785.073
247	2139149.578
248	2138180.364
249	2136851.623
250	2135321.965
251	2133803.751
252	2133424.169
253	2133144.562
254	2132027.85
255	2130783.424
256	2130215.98
257	2128739.101
258	2127331.566
259	2127142.618
260	2126630.783
261	2124786.194
262	2122644.928
263	2122391.965
264	2120695.684
265	2119240.619
266	2118376.863
267	2118174.322
268	2117800.886
269	2116527.993
270	2115314.958
271	2115078.568
272	2113703.695
273	2111874.65
274	2110497.399
275	2109734.359
276	2109198.751
277	2108858.472
278	2107282.226
279	2106539.271
