iter	Passed	Remaining
0	65	65753
1	76	38400
2	87	29149
3	98	24405
4	108	21640
5	119	19792
6	130	18457
7	140	17469
8	151	16699
9	162	16101
10	173	15601
11	188	15556
12	203	15460
13	216	15252
14	231	15197
15	248	15266
16	263	15237
17	275	15008
18	286	14781
19	296	14552
20	308	14365
21	319	14210
22	329	14017
23	340	13829
24	350	13678
25	361	13529
26	371	13383
27	381	13252
28	392	13149
29	402	13026
30	413	12912
31	423	12809
32	433	12701
33	444	12631
34	456	12576
35	467	12506
36	477	12418
37	487	12340
38	497	12261
39	507	12184
40	517	12110
41	527	12040
42	537	11968
43	548	11909
44	558	11844
45	568	11783
46	578	11724
47	589	11685
48	599	11634
49	609	11579
50	619	11529
51	629	11477
52	639	11430
53	649	11380
54	659	11334
55	669	11289
56	679	11245
57	689	11203
58	699	11161
59	710	11126
60	720	11086
61	730	11046
62	740	11012
63	750	10978
64	760	10946
65	771	10915
66	782	10892
67	792	10860
68	802	10826
69	812	10794
70	822	10765
71	832	10733
72	842	10703
73	852	10671
74	862	10640
75	872	10611
76	882	10582
77	892	10553
78	902	10525
79	912	10497
80	922	10471
81	933	10445
82	942	10417
83	953	10392
84	963	10368
85	973	10343
86	984	10327
87	994	10305
88	1004	10281
89	1014	10257
90	1024	10232
91	1034	10209
92	1044	10186
93	1054	10163
94	1064	10141
95	1074	10122
96	1084	10100
97	1095	10079
98	1105	10057
99	1115	10036
100	1125	10018
101	1135	10000
102	1145	9980
103	1157	9971
104	1168	9961
105	1179	9945
106	1190	9939
107	1201	9922
108	1211	9904
109	1221	9884
110	1231	9866
111	1242	9849
112	1252	9830
113	1262	9811
114	1272	9792
115	1282	9773
116	1292	9754
117	1302	9735
118	1312	9717
119	1323	9702
120	1333	9684
121	1343	9667
122	1353	9649
123	1363	9631
124	1373	9614
125	1383	9597
126	1394	9588
127	1405	9572
128	1415	9556
129	1425	9542
130	1437	9534
131	1449	9530
132	1459	9512
133	1469	9496
134	1479	9481
135	1491	9473
136	1502	9462
137	1513	9455
138	1524	9444
139	1536	9439
140	1546	9424
141	1556	9407
142	1566	9390
143	1577	9377
144	1588	9364
145	1598	9352
146	1609	9337
147	1619	9320
148	1629	9305
149	1639	9289
150	1649	9274
151	1659	9260
152	1670	9246
153	1680	9233
154	1690	9218
155	1700	9202
156	1711	9187
157	1721	9172
158	1731	9157
159	1741	9144
160	1751	9129
161	1762	9114
162	1772	9099
163	1783	9089
164	1792	9073
165	1804	9066
166	1814	9051
167	1825	9038
168	1834	9022
169	1845	9008
170	1855	8993
171	1865	8978
172	1875	8964
173	1885	8950
174	1895	8935
175	1905	8921
176	1915	8906
177	1926	8895
178	1936	8881
179	1946	8867
180	1956	8853
181	1966	8838
182	1976	8824
183	1986	8810
184	1997	8798
185	2009	8792
186	2019	8781
187	2030	8768
188	2040	8755
189	2050	8742
190	2060	8729
191	2071	8718
192	2081	8705
193	2092	8692
194	2102	8678
195	2113	8667
196	2123	8654
197	2133	8642
198	2144	8631
199	2154	8617
200	2164	8604
201	2174	8591
202	2184	8577
203	2194	8564
204	2204	8550
205	2216	8542
206	2226	8529
207	2236	8516
208	2246	8502
209	2256	8489
210	2266	8476
211	2276	8463
212	2287	8450
213	2297	8437
214	2307	8424
215	2317	8411
216	2327	8398
217	2337	8385
218	2347	8372
219	2357	8359
220	2367	8346
221	2378	8334
222	2388	8321
223	2398	8308
224	2408	8295
225	2419	8287
226	2430	8277
227	2441	8267
228	2451	8254
229	2461	8241
230	2471	8229
231	2481	8216
232	2492	8203
233	2502	8191
234	2512	8178
235	2522	8166
236	2532	8153
237	2542	8141
238	2552	8128
239	2562	8116
240	2573	8104
241	2583	8091
242	2593	8079
243	2603	8066
244	2613	8053
245	2625	8046
246	2635	8034
247	2645	8022
248	2657	8016
249	2668	8005
250	2678	7993
251	2688	7981
252	2699	7969
253	2709	7957
254	2719	7945
255	2729	7932
256	2739	7919
257	2749	7907
258	2759	7895
259	2770	7884
260	2780	7872
261	2791	7861
262	2801	7851
263	2812	7840
264	2823	7829
265	2834	7821
266	2844	7809
267	2854	7797
268	2864	7785
269	2874	7773
270	2884	7760
271	2894	7748
272	2905	7737
273	2915	7725
274	2925	7713
275	2936	7701
276	2946	7689
277	2956	7677
278	2966	7665
279	2976	7653
280	2986	7641
281	2996	7629
282	3006	7617
283	3016	7605
284	3027	7596
285	3037	7584
286	3047	7571
287	3057	7559
288	3067	7547
289	3078	7536
290	3088	7524
291	3098	7512
292	3108	7500
293	3119	7490
294	3130	7480
295	3140	7468
296	3150	7456
297	3160	7445
298	3170	7433
299	3180	7421
300	3190	7409
301	3200	7398
302	3210	7386
303	3220	7374
304	3232	7364
305	3242	7353
306	3252	7341
307	3262	7330
308	3272	7318
309	3282	7306
310	3292	7295
311	3302	7283
312	3313	7271
313	3323	7260
314	3333	7248
315	3343	7237
316	3353	7225
317	3363	7213
318	3373	7201
319	3383	7189
320	3393	7178
321	3404	7167
322	3415	7158
323	3425	7147
324	3437	7138
325	3447	7127
326	3457	7115
327	3467	7103
328	3477	7092
329	3487	7080
330	3497	7068
331	3507	7056
332	3517	7045
333	3527	7033
334	3537	7022
335	3547	7010
336	3557	6998
337	3567	6987
338	3577	6976
339	3587	6964
340	3598	6953
341	3608	6941
342	3618	6930
343	3628	6919
344	3639	6909
345	3649	6898
346	3659	6887
347	3669	6875
348	3679	6863
349	3689	6852
350	3699	6841
351	3709	6829
352	3719	6818
353	3729	6806
354	3740	6795
355	3750	6784
356	3760	6772
357	3770	6761
358	3780	6749
359	3790	6738
360	3800	6727
361	3810	6715
362	3820	6704
363	3830	6693
364	3841	6682
365	3851	6672
366	3862	6661
367	3872	6649
368	3882	6638
369	3892	6628
370	3902	6616
371	3912	6605
372	3922	6594
373	3932	6583
374	3942	6571
375	3952	6559
376	3962	6548
377	3972	6537
378	3982	6526
379	3992	6514
380	4003	6503
381	4013	6492
382	4023	6481
383	4033	6469
384	4043	6459
385	4055	6450
386	4065	6438
387	4075	6428
388	4085	6417
389	4097	6408
390	4107	6397
391	4117	6386
392	4127	6375
393	4137	6364
394	4148	6353
395	4158	6342
396	4168	6331
397	4178	6320
398	4188	6309
399	4198	6297
400	4208	6286
401	4218	6275
402	4229	6264
403	4239	6253
404	4250	6244
405	4260	6233
406	4270	6222
407	4280	6210
408	4290	6199
409	4300	6188
410	4310	6177
411	4320	6166
412	4330	6155
413	4340	6144
414	4350	6133
415	4360	6122
416	4370	6110
417	4380	6099
418	4392	6090
419	4403	6080
420	4413	6070
421	4423	6059
422	4433	6048
423	4443	6037
424	4458	6032
425	4472	6026
426	4483	6016
427	4493	6005
428	4503	5994
429	4513	5983
430	4523	5972
431	4533	5960
432	4543	5949
433	4553	5938
434	4563	5927
435	4573	5916
436	4583	5905
437	4593	5893
438	4603	5882
439	4613	5871
440	4623	5860
441	4633	5849
442	4643	5838
443	4653	5827
444	4664	5817
445	4674	5806
446	4684	5795
447	4694	5784
448	4704	5773
449	4714	5762
450	4724	5751
451	4734	5740
452	4744	5729
453	4754	5718
454	4764	5707
455	4775	5697
456	4786	5687
457	4797	5677
458	4807	5666
459	4818	5655
460	4828	5645
461	4839	5635
462	4849	5624
463	4859	5614
464	4871	5604
465	4881	5593
466	4891	5583
467	4902	5572
468	4913	5562
469	4923	5551
470	4933	5541
471	4944	5530
472	4954	5519
473	4964	5508
474	4974	5497
475	4984	5486
476	4994	5475
477	5004	5464
478	5014	5454
479	5024	5443
480	5035	5433
481	5045	5422
482	5056	5412
483	5066	5401
484	5079	5393
485	5090	5383
486	5100	5372
487	5110	5361
488	5120	5350
489	5130	5339
490	5140	5328
491	5150	5317
492	5160	5306
493	5170	5295
494	5180	5285
495	5190	5274
496	5201	5264
497	5212	5254
498	5223	5244
499	5233	5233
500	5243	5223
501	5254	5212
502	5265	5202
503	5275	5191
504	5286	5181
505	5296	5171
506	5306	5160
507	5316	5149
508	5326	5138
509	5336	5127
510	5346	5116
511	5356	5105
512	5366	5094
513	5377	5084
514	5388	5074
515	5398	5063
516	5408	5052
517	5418	5041
518	5428	5030
519	5438	5020
520	5448	5009
521	5458	4998
522	5468	4987
523	5478	4976
524	5489	4966
525	5500	4956
526	5510	4945
527	5520	4934
528	5530	4923
529	5539	4912
530	5550	4901
531	5560	4891
532	5570	4880
533	5580	4869
534	5590	4858
535	5600	4848
536	5610	4837
537	5620	4826
538	5630	4815
539	5640	4804
540	5650	4793
541	5660	4783
542	5671	4773
543	5681	4762
544	5691	4751
545	5702	4741
546	5712	4730
547	5722	4719
548	5732	4708
549	5742	4698
550	5752	4687
551	5762	4676
552	5772	4665
553	5782	4654
554	5792	4644
555	5801	4633
556	5812	4622
557	5821	4611
558	5832	4600
559	5841	4590
560	5851	4579
561	5862	4568
562	5871	4557
563	5881	4546
564	5892	4536
565	5902	4526
566	5912	4515
567	5922	4504
568	5932	4493
569	5942	4483
570	5952	4472
571	5962	4461
572	5972	4450
573	5982	4440
574	5992	4429
575	6002	4418
576	6012	4408
577	6022	4397
578	6032	4386
579	6043	4375
580	6054	4366
581	6065	4356
582	6075	4345
583	6085	4334
584	6096	4325
585	6107	4314
586	6117	4304
587	6127	4293
588	6137	4282
589	6147	4272
590	6157	4261
591	6167	4250
592	6178	4240
593	6187	4229
594	6198	4218
595	6208	4208
596	6218	4197
597	6228	4186
598	6238	4176
599	6248	4165
600	6258	4155
601	6268	4144
602	6278	4133
603	6288	4122
604	6299	4112
605	6309	4102
606	6319	4091
607	6329	4080
608	6339	4070
609	6350	4060
610	6361	4049
611	6371	4039
612	6381	4028
613	6391	4018
614	6401	4007
615	6411	3996
616	6421	3986
617	6431	3975
618	6441	3964
619	6451	3954
620	6461	3943
621	6471	3933
622	6482	3922
623	6492	3911
624	6503	3901
625	6513	3891
626	6524	3881
627	6534	3870
628	6543	3859
629	6554	3849
630	6565	3839
631	6575	3828
632	6586	3818
633	6596	3808
634	6606	3797
635	6616	3786
636	6626	3776
637	6636	3765
638	6646	3755
639	6656	3744
640	6666	3733
641	6677	3723
642	6687	3713
643	6698	3702
644	6709	3692
645	6719	3681
646	6728	3671
647	6739	3660
648	6749	3650
649	6759	3639
650	6769	3629
651	6780	3618
652	6790	3608
653	6800	3597
654	6810	3587
655	6820	3576
656	6830	3566
657	6840	3555
658	6851	3545
659	6861	3534
660	6871	3524
661	6881	3513
662	6891	3502
663	6901	3492
664	6912	3482
665	6922	3471
666	6932	3461
667	6942	3450
668	6952	3440
669	6963	3429
670	6973	3419
671	6983	3408
672	6993	3397
673	7003	3387
674	7013	3376
675	7023	3366
676	7034	3355
677	7044	3345
678	7055	3335
679	7065	3324
680	7075	3314
681	7085	3303
682	7095	3293
683	7105	3282
684	7116	3272
685	7126	3262
686	7136	3251
687	7146	3241
688	7156	3230
689	7167	3220
690	7177	3209
691	7187	3199
692	7197	3188
693	7207	3178
694	7218	3167
695	7228	3157
696	7238	3146
697	7248	3136
698	7258	3125
699	7268	3114
700	7278	3104
701	7288	3093
702	7298	3083
703	7308	3072
704	7321	3063
705	7332	3053
706	7343	3043
707	7353	3032
708	7363	3022
709	7373	3011
710	7383	3001
711	7393	2990
712	7403	2980
713	7414	2969
714	7424	2959
715	7433	2948
716	7444	2938
717	7454	2927
718	7464	2917
719	7473	2906
720	7483	2896
721	7494	2885
722	7504	2875
723	7515	2865
724	7526	2854
725	7535	2844
726	7545	2833
727	7555	2823
728	7565	2812
729	7575	2802
730	7585	2791
731	7596	2781
732	7606	2770
733	7615	2760
734	7626	2749
735	7636	2739
736	7646	2728
737	7656	2718
738	7666	2707
739	7676	2697
740	7686	2686
741	7696	2676
742	7706	2665
743	7717	2655
744	7727	2645
745	7738	2634
746	7748	2624
747	7758	2613
748	7768	2603
749	7778	2592
750	7789	2582
751	7799	2572
752	7809	2561
753	7819	2551
754	7829	2540
755	7840	2530
756	7850	2520
757	7860	2509
758	7870	2499
759	7880	2488
760	7891	2478
761	7901	2467
762	7911	2457
763	7922	2447
764	7932	2436
765	7943	2426
766	7953	2416
767	7963	2405
768	7973	2395
769	7983	2384
770	7994	2374
771	8005	2364
772	8015	2353
773	8025	2343
774	8035	2332
775	8045	2322
776	8055	2312
777	8065	2301
778	8075	2291
779	8085	2280
780	8095	2270
781	8105	2259
782	8115	2249
783	8127	2239
784	8137	2228
785	8147	2218
786	8157	2207
787	8167	2197
788	8177	2186
789	8187	2176
790	8198	2166
791	8208	2155
792	8218	2145
793	8228	2134
794	8238	2124
795	8248	2113
796	8258	2103
797	8268	2093
798	8278	2082
799	8288	2072
800	8299	2061
801	8310	2051
802	8320	2041
803	8334	2031
804	8349	2022
805	8359	2012
806	8369	2001
807	8379	1991
808	8389	1980
809	8399	1970
810	8410	1959
811	8420	1949
812	8430	1939
813	8439	1928
814	8449	1918
815	8460	1907
816	8470	1897
817	8480	1886
818	8490	1876
819	8500	1865
820	8510	1855
821	8520	1845
822	8530	1834
823	8542	1824
824	8552	1814
825	8562	1803
826	8572	1793
827	8582	1782
828	8593	1772
829	8603	1762
830	8613	1751
831	8623	1741
832	8633	1730
833	8643	1720
834	8653	1710
835	8663	1699
836	8674	1689
837	8683	1678
838	8693	1668
839	8704	1657
840	8714	1647
841	8724	1637
842	8734	1626
843	8745	1616
844	8756	1606
845	8766	1595
846	8776	1585
847	8786	1574
848	8796	1564
849	8806	1554
850	8816	1543
851	8826	1533
852	8836	1522
853	8846	1512
854	8856	1502
855	8866	1491
